Functional Area,Month,Communications Sent,Month Name,Month Number,Year,System,Type,Response,View
UCM,12-01-2020,47,December,202012,2020,Marketing Cloud,Email,2,9
Human Resources,08-01-2020,136255,August,202008,2020,Flashline,Portal Alert,80607,118541
UCM,10-01-2020,11590,October,202010,2020,Marketing Cloud,Email,4051,8808
Recruiting,08-01-2020,259644,August,202008,2020,Marketing Cloud,Email,4829,160979
Human Resources,01-01-2021,182327,January,202101,2021,Marketing Cloud,Email,56557,120335
Recruiting,12-01-2020,31377,December,202012,2020,Marketing Cloud,Email,7831,8158
Academic Affairs,01-01-2021,27782,January,202101,2021,Phone,Phone Call,7067,14724
WKSU,12-01-2020,17131,December,202012,2020,Marketing Cloud,Email,1589,5481
WKSU,01-01-2021,49861,January,202101,2021,Marketing Cloud,Email,1495,2493
WKSU,11-01-2020,1379954,November,202011,2020,TargetX Email,Email,115363,151794
IT,10-01-2020,700000,October,202010,2020,Marketing Cloud,Email,186200,532000
Academic Affairs,12-01-2020,723568,December,202012,2020,Marketing Cloud,Email,326184,354548
Recruiting,11-01-2020,245595,November,202011,2020,Marketing Cloud,Email,59925,98238
Academic Affairs,10-01-2020,58502,October,202010,2020,Marketing Cloud,Email,1521,2340
WKSU,08-01-2020,92268,August,202008,2020,Marketing Cloud,Email,17124,26757
Recruiting,11-01-2020,245595,November,202011,2020,Marketing Cloud,Email,23208,110517
Human Resources,12-01-2020,27782,December,202012,2020,Marketing Cloud,Email,1755,2222
Academic Affairs,08-01-2020,47428,August,202008,2020,Marketing Cloud,Email,36310,41736
Human Resources,01-01-2021,136255,January,202101,2021,Marketing Cloud,Email,53152,113091
Human Resources,08-01-2020,74152,August,202008,2020,Marketing Cloud,Email,10277,48940
UCM,08-01-2020,102360,August,202008,2020,Marketing Cloud,Email,19960,66534
Human Resources,09-01-2020,700000,September,202009,2020,Marketing Cloud,Email,61880,182000
IT,10-01-2020,47428,October,202010,2020,Marketing Cloud,Email,12055,19445
IT,12-01-2020,49861,December,202012,2020,Marketing Cloud,Email,3454,5484
Recruiting,01-01-2021,19871,January,202101,2021,TargetX Messaging,Text Message,14018,16492
Student Affairs,09-01-2020,17131,September,202009,2020,Marketing Cloud,Email,3083,3426
WKSU,09-01-2020,36625,September,202009,2020,Marketing Cloud,Email,2190,4761
Academic Affairs,01-01-2021,36625,January,202101,2021,Phone,Phone Call,3065,11353
Recruiting,09-01-2020,49861,September,202009,2020,Marketing Cloud,Email,17176,26426
Recruiting,10-01-2020,0,October,202010,2020,Marketing Cloud,Email,0,0
Student Affairs,01-01-2021,0,January,202101,2021,Marketing Cloud,Email,0,0
Recruiting,12-01-2020,42015,December,202012,2020,Cognos Report to Email,Email,5961,13864
UCM,12-01-2020,1006194,December,202012,2020,Marketing Cloud,Email,33204,332044
Academic Affairs,01-01-2021,106010,January,202101,2021,Marketing Cloud,Email,15138,44524
Academic Affairs,12-01-2020,723568,December,202012,2020,Phone,Phone Call,295288,383491
WKSU,09-01-2020,0,September,202009,2020,Marketing Cloud,Email,0,0
Recruiting,08-01-2020,87671,August,202008,2020,Marketing Cloud,Email,245,24547
Recruiting,11-01-2020,1271250,November,202011,2020,Marketing Cloud,Email,17288,216112
Recruiting,01-01-2021,1006194,January,202101,2021,Marketing Cloud,Email,39039,40247
UCM,01-01-2021,17131,January,202101,2021,Marketing Cloud,Email,1397,8736
Recruiting,08-01-2020,167464,August,202008,2020,Marketing Cloud,Email,29523,72009
Recruiting,01-01-2021,1006194,January,202101,2021,Marketing Cloud,Email,376316,684211
Human Resources,12-01-2020,167464,December,202012,2020,Marketing Cloud,Email,4370,15071
Human Resources,01-01-2021,106010,January,202101,2021,Marketing Cloud,Email,44651,85868
Student Affairs,10-01-2020,36157,October,202010,2020,Marketing Cloud,Email,2570,3254
Human Resources,01-01-2021,31377,January,202101,2021,Marketing Cloud,Email,9067,10668
IT,12-01-2020,20217,December,202012,2020,Marketing Cloud,Email,14252,19003
Recruiting,01-01-2021,40000,January,202101,2021,Flashline,Portal Alert,360,36000
Human Resources,01-01-2021,100,January,202101,2021,Marketing Cloud,Email,0,80
UCM,10-01-2020,27782,October,202010,2020,Marketing Cloud,Email,4000,20003
Recruiting,08-01-2020,17307,August,202008,2020,Marketing Cloud,Email,9400,9691
Recruiting,01-01-2021,17131,January,202101,2021,Marketing Cloud,Email,1788,4967
Academic Affairs,12-01-2020,27782,December,202012,2020,Marketing Cloud,Email,9100,21669
IT,11-01-2020,11590,November,202011,2020,Marketing Cloud,Email,4085,4751
Recruiting,01-01-2021,246,January,202101,2021,Marketing Cloud,Email,172,174
Recruiting,09-01-2020,106010,September,202009,2020,Marketing Cloud,Email,17215,59365
UCM,10-01-2020,1029207,October,202010,2020,Marketing Cloud,Email,42814,82336
Academic Affairs,08-01-2020,80283,August,202008,2020,Marketing Cloud,Email,1854,2408
Student Affairs,12-01-2020,19871,December,202012,2020,Phone,Phone Call,55,1390
Academic Affairs,11-01-2020,39863,November,202011,2020,Marketing Cloud,Email,11838,13154
WKSU,08-01-2020,49861,August,202008,2020,Marketing Cloud,Email,3839,4986
Student Affairs,09-01-2020,74152,September,202009,2020,Marketing Cloud,Email,16090,51906
UCM,09-01-2020,355184,September,202009,2020,Marketing Cloud,Email,250475,291250
IT,01-01-2021,47,January,202101,2021,TargetX Email,Email,11,16
Recruiting,10-01-2020,49861,October,202010,2020,Marketing Cloud,Email,6307,27423
UCM,01-01-2021,34478,January,202101,2021,Marketing Cloud,Email,5243,13446
Academic Affairs,10-01-2020,355184,October,202010,2020,Marketing Cloud,Email,241169,248628
Academic Affairs,12-01-2020,167464,December,202012,2020,Marketing Cloud,Email,13564,30143
UCM,09-01-2020,0,September,202009,2020,Marketing Cloud,Email,0,0
Human Resources,08-01-2020,92268,August,202008,2020,Marketing Cloud,Email,47905,81195
WKSU,09-01-2020,1379954,September,202009,2020,Marketing Cloud,Email,178841,496783
Academic Affairs,01-01-2021,700000,January,202101,2021,Marketing Cloud,Email,23240,581000
Recruiting,12-01-2020,355184,December,202012,2020,Marketing Cloud,Email,48305,241525
Recruiting,12-01-2020,47428,December,202012,2020,Marketing Cloud,Email,24785,31776
Recruiting,11-01-2020,136769,November,202011,2020,Marketing Cloud,Email,33699,43766
Student Affairs,08-01-2020,80283,August,202008,2020,Marketing Cloud,Email,23466,63423
WKSU,09-01-2020,42015,September,202009,2020,Marketing Cloud,Email,9175,32771
Human Resources,08-01-2020,34478,August,202008,2020,Marketing Cloud,Email,1703,8964
UCM,10-01-2020,100,October,202010,2020,Marketing Cloud,Email,10,72
WKSU,12-01-2020,1549831,December,202012,2020,Marketing Cloud,Email,734619,1224366
Recruiting,01-01-2021,36625,January,202101,2021,Marketing Cloud,Email,8141,20876
UCM,08-01-2020,246,August,202008,2020,Marketing Cloud,Email,137,199
WKSU,08-01-2020,38603,August,202008,2020,Marketing Cloud,Email,7257,36286
IT,08-01-2020,27782,August,202008,2020,Marketing Cloud,Email,1589,12224
WKSU,12-01-2020,17131,December,202012,2020,Marketing Cloud,Email,4424,7023
Student Affairs,01-01-2021,36625,January,202101,2021,Marketing Cloud,Email,9602,13917
WKSU,01-01-2021,141779,January,202101,2021,Marketing Cloud,Email,7910,8506
Recruiting,08-01-2020,47,August,202008,2020,Marketing Cloud,Email,16,34
Recruiting,08-01-2020,141779,August,202008,2020,Marketing Cloud,Email,29631,77978
IT,11-01-2020,11590,November,202011,2020,Marketing Cloud,Email,2192,9967
Student Affairs,08-01-2020,36625,August,202008,2020,Marketing Cloud,Email,16810,32962
Recruiting,12-01-2020,49861,December,202012,2020,Marketing Cloud,Email,27821,44874
Recruiting,12-01-2020,0,December,202012,2020,Marketing Cloud,Email,0,0
Student Affairs,12-01-2020,136255,December,202012,2020,Constant Contact,Email,33654,35426
Recruiting,10-01-2020,80283,October,202010,2020,Marketing Cloud,Email,64900,69043
Recruiting,01-01-2021,47,January,202101,2021,Marketing Cloud,Email,6,23
Academic Affairs,12-01-2020,58502,December,202012,2020,TargetX Email,Email,13109,15795
Academic Affairs,01-01-2021,42015,January,202101,2021,Marketing Cloud,Email,14910,16385
Recruiting,01-01-2021,49861,January,202101,2021,Marketing Cloud,Email,11168,39888
WKSU,11-01-2020,246,November,202011,2020,Flashline,Portal Alert,64,196
IT,11-01-2020,167464,November,202011,2020,Marketing Cloud,Email,34781,51913
Recruiting,01-01-2021,3432,January,202101,2021,Cognos Report to Email,Email,480,1716
WKSU,10-01-2020,17131,October,202010,2020,Marketing Cloud,Email,9411,14047
WKSU,01-01-2021,136255,January,202101,2021,Marketing Cloud,Email,27441,51776
Recruiting,01-01-2021,3432,January,202101,2021,TargetX Messaging,Text Message,926,1235
Academic Affairs,01-01-2021,58502,January,202101,2021,Marketing Cloud,Email,16503,53236
UCM,12-01-2020,355184,December,202012,2020,Marketing Cloud,Email,158233,159832
Academic Affairs,01-01-2021,700000,January,202101,2021,Marketing Cloud,Email,301000,602000
Recruiting,12-01-2020,141779,December,202012,2020,Marketing Cloud,Email,24244,134690
Student Affairs,01-01-2021,500000,January,202101,2021,Marketing Cloud,Email,108500,350000
Recruiting,12-01-2020,1379954,December,202012,2020,Marketing Cloud,Email,314629,524382
IT,12-01-2020,259644,December,202012,2020,Marketing Cloud,Email,187462,197329
Academic Affairs,01-01-2021,27782,January,202101,2021,Marketing Cloud,Email,3041,4167
Academic Affairs,11-01-2020,125000,November,202011,2020,Marketing Cloud,Email,14175,17500
Academic Affairs,01-01-2021,39863,January,202101,2021,Marketing Cloud,Email,1606,12357
IT,11-01-2020,80283,November,202011,2020,Marketing Cloud,Email,33959,72254
WKSU,12-01-2020,87671,December,202012,2020,Marketing Cloud,Email,2393,2630
UCM,10-01-2020,47428,October,202010,2020,Marketing Cloud,Email,4401,27508
Student Affairs,09-01-2020,136769,September,202009,2020,Marketing Cloud,Email,25986,25986
Student Affairs,10-01-2020,1006194,October,202010,2020,Marketing Cloud,Email,260101,472911
Recruiting,12-01-2020,17307,December,202012,2020,Marketing Cloud,Email,2744,4499
Academic Affairs,08-01-2020,47,August,202008,2020,Flashline,Portal Alert,27,45
Recruiting,12-01-2020,17307,December,202012,2020,Constant Contact,Email,2713,8480
Human Resources,09-01-2020,350000,September,202009,2020,Marketing Cloud,Email,154875,262500
IT,08-01-2020,1006194,August,202008,2020,Marketing Cloud,Email,39342,231424
Recruiting,11-01-2020,1029207,November,202011,2020,Marketing Cloud,Email,23877,596940
Academic Affairs,12-01-2020,40000,December,202012,2020,TargetX Email,Email,10920,15600
WKSU,01-01-2021,11590,January,202101,2021,Marketing Cloud,Email,397,5679
IT,11-01-2020,17131,November,202011,2020,Marketing Cloud,Email,9497,14390
WKSU,11-01-2020,125000,November,202011,2020,Marketing Cloud,Email,87600,120000
Recruiting,01-01-2021,40000,January,202101,2021,Marketing Cloud,Email,5852,7600
Human Resources,01-01-2021,39863,January,202101,2021,Marketing Cloud,Email,936,18735
WKSU,09-01-2020,125000,September,202009,2020,Marketing Cloud,Email,52800,55000
Academic Affairs,08-01-2020,350000,August,202008,2020,Marketing Cloud,Email,135660,199500
Recruiting,08-01-2020,700000,August,202008,2020,Cognos Report to Email,Email,311850,693000
Student Affairs,11-01-2020,36625,November,202011,2020,Marketing Cloud,Email,8401,11353
UCM,10-01-2020,1549831,October,202010,2020,Marketing Cloud,Email,271065,511444
Recruiting,01-01-2021,49861,January,202101,2021,Marketing Cloud,Email,22302,31412
UCM,08-01-2020,182327,August,202008,2020,Marketing Cloud,Email,19691,82047
Student Affairs,09-01-2020,34478,September,202009,2020,Marketing Cloud,Email,25754,28616
Recruiting,11-01-2020,100,November,202011,2020,Marketing Cloud,Email,14,18
Recruiting,10-01-2020,700000,October,202010,2020,Marketing Cloud,Email,347760,644000
Recruiting,11-01-2020,1549831,November,202011,2020,Marketing Cloud,Email,148783,371959
IT,01-01-2021,182327,January,202101,2021,Marketing Cloud,Email,94518,131275
Human Resources,08-01-2020,17307,August,202008,2020,Marketing Cloud,Email,1552,3980
Student Affairs,01-01-2021,42015,January,202101,2021,Marketing Cloud,Email,18918,23948
IT,01-01-2021,87671,January,202101,2021,Cognos Report to Email,Email,23565,84164
Student Affairs,11-01-2020,136769,November,202011,2020,Marketing Cloud,Email,5716,30089
Academic Affairs,08-01-2020,36625,August,202008,2020,Marketing Cloud,Email,6226,36625
IT,09-01-2020,27782,September,202009,2020,Marketing Cloud,Email,3272,8612
Recruiting,11-01-2020,27782,November,202011,2020,Marketing Cloud,Email,1733,13335
Recruiting,09-01-2020,1549831,September,202009,2020,Marketing Cloud,Email,533916,1007390
Recruiting,01-01-2021,1549831,January,202101,2021,Marketing Cloud,Email,17668,294467
IT,12-01-2020,36157,December,202012,2020,Marketing Cloud,Email,9979,10847
IT,01-01-2021,355184,January,202101,2021,Marketing Cloud,Email,182777,220214
Student Affairs,12-01-2020,1379954,December,202012,2020,Flashline,Portal Alert,27598,68997
UCM,10-01-2020,58502,October,202010,2020,Marketing Cloud,Email,4001,11115
WKSU,01-01-2021,36157,January,202101,2021,Constant Contact,Email,8178,31456
Human Resources,11-01-2020,102360,November,202011,2020,Marketing Cloud,Email,20727,25590
UCM,09-01-2020,0,September,202009,2020,Constant Contact,Email,0,0
Recruiting,10-01-2020,106010,October,202010,2020,Marketing Cloud,Email,20056,91168
Recruiting,12-01-2020,182327,December,202012,2020,Flashline,Portal Alert,820,27349
Recruiting,12-01-2020,102360,December,202012,2020,Marketing Cloud,Email,29724,33778
Recruiting,10-01-2020,19871,October,202010,2020,Marketing Cloud,Email,6897,17685
Human Resources,11-01-2020,500000,November,202011,2020,Marketing Cloud,Email,27000,180000
Human Resources,09-01-2020,1549831,September,202009,2020,Marketing Cloud,Email,80591,309966
IT,10-01-2020,36157,October,202010,2020,Marketing Cloud,Email,14534,21694
IT,01-01-2021,3432,January,202101,2021,Marketing Cloud,Email,494,2471
Recruiting,01-01-2021,11590,January,202101,2021,Constant Contact,Email,4486,5679
IT,12-01-2020,1029207,December,202012,2020,Marketing Cloud,Email,500606,782197
Student Affairs,10-01-2020,1006194,October,202010,2020,Marketing Cloud,Email,179303,664088
Human Resources,12-01-2020,34478,December,202012,2020,Marketing Cloud,Email,20441,26548
Academic Affairs,10-01-2020,125000,October,202010,2020,Marketing Cloud,Email,200,20000
Student Affairs,12-01-2020,17307,December,202012,2020,Marketing Cloud,Email,359,1384
WKSU,12-01-2020,80283,December,202012,2020,Marketing Cloud,Email,44396,56198
WKSU,08-01-2020,3432,August,202008,2020,Marketing Cloud,Email,0,68
Recruiting,01-01-2021,11590,January,202101,2021,Marketing Cloud,Email,2185,4751
Recruiting,08-01-2020,246,August,202008,2020,Cognos Report to Email,Email,165,174
WKSU,01-01-2021,39863,January,202101,2021,Flashline,Portal Alert,18033,20728
IT,11-01-2020,259644,November,202011,2020,Marketing Cloud,Email,19940,31157
Academic Affairs,01-01-2021,3432,January,202101,2021,Marketing Cloud,Email,900,2574
Recruiting,09-01-2020,42015,September,202009,2020,Marketing Cloud,Email,38233,38233
Student Affairs,11-01-2020,136255,November,202011,2020,Marketing Cloud,Email,20111,111729
UCM,01-01-2021,40000,January,202101,2021,Marketing Cloud,Email,20776,39200
Student Affairs,11-01-2020,167464,November,202011,2020,Constant Contact,Email,67789,73684
IT,01-01-2021,723568,January,202101,2021,Marketing Cloud,Email,159184,636739
UCM,09-01-2020,20217,September,202009,2020,Marketing Cloud,Email,3311,3639
Student Affairs,09-01-2020,136769,September,202009,2020,Marketing Cloud,Email,46528,73855
Human Resources,10-01-2020,47428,October,202010,2020,Marketing Cloud,Email,8465,40313
UCM,08-01-2020,136769,August,202008,2020,Marketing Cloud,Email,8233,58810
IT,01-01-2021,19871,January,202101,2021,TargetX Email,Email,8568,17486
WKSU,11-01-2020,1029207,November,202011,2020,Marketing Cloud,Email,250302,658692
Recruiting,01-01-2021,125000,January,202101,2021,Marketing Cloud,Email,28675,38750
Academic Affairs,12-01-2020,136769,December,202012,2020,Cognos Report to Email,Email,84440,86164
Recruiting,10-01-2020,36625,October,202010,2020,Marketing Cloud,Email,11807,19045
UCM,10-01-2020,350000,October,202010,2020,Marketing Cloud,Email,106330,108500
Student Affairs,10-01-2020,74152,October,202010,2020,Marketing Cloud,Email,44846,62287
Recruiting,10-01-2020,40000,October,202010,2020,Marketing Cloud,Email,20800,20800
WKSU,01-01-2021,373,January,202101,2021,Marketing Cloud,Email,77,309
IT,11-01-2020,1006194,November,202011,2020,TargetX Messaging,Text Message,45278,50309
IT,12-01-2020,500000,December,202012,2020,Marketing Cloud,Email,258500,275000
Human Resources,01-01-2021,136769,January,202101,2021,TargetX Messaging,Text Message,3610,15044
WKSU,12-01-2020,74152,December,202012,2020,Marketing Cloud,Email,3559,5932
Recruiting,12-01-2020,38603,December,202012,2020,Marketing Cloud,Email,5118,19687
Recruiting,12-01-2020,245595,December,202012,2020,Marketing Cloud,Email,38681,184196
Student Affairs,12-01-2020,350000,December,202012,2020,Marketing Cloud,Email,136500,273000
IT,01-01-2021,47428,January,202101,2021,Marketing Cloud,Email,18600,35096
Academic Affairs,08-01-2020,246,August,202008,2020,Marketing Cloud,Email,61,154
Academic Affairs,01-01-2021,19871,January,202101,2021,Marketing Cloud,Email,14994,15300
Human Resources,01-01-2021,102360,January,202101,2021,Constant Contact,Email,34423,60392
Student Affairs,10-01-2020,3432,October,202010,2020,Marketing Cloud,Email,34,171
Recruiting,09-01-2020,182327,September,202009,2020,Marketing Cloud,Email,17867,18232
WKSU,01-01-2021,102360,January,202101,2021,Marketing Cloud,Email,28373,36849
Recruiting,11-01-2020,167464,November,202011,2020,Marketing Cloud,Email,132580,145693
Academic Affairs,12-01-2020,58502,December,202012,2020,Cognos Report to Email,Email,5323,15210
UCM,11-01-2020,17131,November,202011,2020,Marketing Cloud,Email,6146,6681
Human Resources,01-01-2021,0,January,202101,2021,Marketing Cloud,Email,0,0
WKSU,10-01-2020,106010,October,202010,2020,Marketing Cloud,Email,51361,60425
Recruiting,12-01-2020,100,December,202012,2020,Marketing Cloud,Email,0,10
IT,12-01-2020,136255,December,202012,2020,Marketing Cloud,Email,35153,40876
Recruiting,01-01-2021,47428,January,202101,2021,Marketing Cloud,Email,8195,8537
Recruiting,10-01-2020,3432,October,202010,2020,Marketing Cloud,Email,1527,1716
Academic Affairs,01-01-2021,350000,January,202101,2021,Marketing Cloud,Email,269325,283500
Recruiting,10-01-2020,0,October,202010,2020,Marketing Cloud,Email,0,0
Academic Affairs,11-01-2020,1006194,November,202011,2020,Marketing Cloud,Email,65201,241486
Recruiting,08-01-2020,17307,August,202008,2020,Cognos Report to Email,Email,2258,5019
Student Affairs,10-01-2020,0,October,202010,2020,Marketing Cloud,Email,0,0
UCM,11-01-2020,1006194,November,202011,2020,Marketing Cloud,Email,439706,955884
IT,01-01-2021,1549831,January,202101,2021,Marketing Cloud,Email,906340,1332854
Student Affairs,01-01-2021,259644,January,202101,2021,Marketing Cloud,Email,93367,160979
WKSU,12-01-2020,0,December,202012,2020,Marketing Cloud,Email,0,0
Academic Affairs,09-01-2020,17307,September,202009,2020,Marketing Cloud,Email,1292,1557
Recruiting,01-01-2021,723568,January,202101,2021,Marketing Cloud,Email,163743,224306
Student Affairs,11-01-2020,723568,November,202011,2020,Marketing Cloud,Email,83860,137477
Recruiting,10-01-2020,39863,October,202010,2020,Marketing Cloud,Email,8335,20330
Recruiting,12-01-2020,87671,December,202012,2020,Marketing Cloud,Email,5698,22794
Recruiting,08-01-2020,92268,August,202008,2020,Marketing Cloud,Email,12991,59051
WKSU,10-01-2020,42015,October,202010,2020,Marketing Cloud,Email,17847,30250
WKSU,01-01-2021,39863,January,202101,2021,Marketing Cloud,Email,1945,24316
Recruiting,10-01-2020,11590,October,202010,2020,Marketing Cloud,Email,4022,4520
WKSU,11-01-2020,246,November,202011,2020,TargetX Email,Email,84,241
IT,11-01-2020,49861,November,202011,2020,Marketing Cloud,Email,1884,13462
Recruiting,11-01-2020,87671,November,202011,2020,Marketing Cloud,Email,4997,8767
IT,09-01-2020,20217,September,202009,2020,Marketing Cloud,Email,6113,11321
Academic Affairs,11-01-2020,31377,November,202011,2020,Marketing Cloud,Email,16810,17884
Academic Affairs,01-01-2021,141779,January,202101,2021,Marketing Cloud,Email,38790,51040
IT,09-01-2020,0,September,202009,2020,Marketing Cloud,Email,0,0
Student Affairs,08-01-2020,136255,August,202008,2020,Marketing Cloud,Email,32006,118541
Human Resources,01-01-2021,34478,January,202101,2021,Marketing Cloud,Email,4192,13101
Recruiting,11-01-2020,700000,November,202011,2020,Marketing Cloud,Email,328860,406000
Academic Affairs,09-01-2020,34478,September,202009,2020,Marketing Cloud,Email,10466,11377
Academic Affairs,01-01-2021,31377,January,202101,2021,Marketing Cloud,Email,13272,14747
Student Affairs,11-01-2020,1271250,November,202011,2020,Marketing Cloud,Email,188017,216112
Human Resources,01-01-2021,39863,January,202101,2021,Marketing Cloud,Email,19923,20330
Academic Affairs,10-01-2020,80283,October,202010,2020,Marketing Cloud,Email,32650,39338
Academic Affairs,01-01-2021,31377,January,202101,2021,Marketing Cloud,Email,7687,21963
UCM,11-01-2020,11590,November,202011,2020,TargetX Messaging,Text Message,133,2665
WKSU,08-01-2020,31377,August,202008,2020,Marketing Cloud,Email,16453,28866
Recruiting,10-01-2020,36625,October,202010,2020,Marketing Cloud,Email,109,366
Recruiting,12-01-2020,100,December,202012,2020,Marketing Cloud,Email,50,94
Student Affairs,11-01-2020,136769,November,202011,2020,Marketing Cloud,Email,16083,134033
Student Affairs,12-01-2020,141779,December,202012,2020,Marketing Cloud,Email,24669,41115
Recruiting,08-01-2020,125000,August,202008,2020,Marketing Cloud,Email,40825,88750
Recruiting,10-01-2020,80283,October,202010,2020,Cognos Report to Email,Email,46933,59409
Academic Affairs,09-01-2020,723568,September,202009,2020,Marketing Cloud,Email,243335,412433
Human Resources,10-01-2020,100,October,202010,2020,Marketing Cloud,Email,10,46
Student Affairs,08-01-2020,245595,August,202008,2020,Marketing Cloud,Email,13262,73678
Student Affairs,10-01-2020,100,October,202010,2020,Marketing Cloud,Email,48,76
Human Resources,10-01-2020,136769,October,202010,2020,Marketing Cloud,Email,287,28721
Human Resources,01-01-2021,136769,January,202101,2021,Marketing Cloud,Email,13348,21883
Human Resources,12-01-2020,36157,December,202012,2020,Marketing Cloud,Email,2335,12293
Human Resources,01-01-2021,182327,January,202101,2021,Marketing Cloud,Email,6563,72930
IT,01-01-2021,373,January,202101,2021,Marketing Cloud,Email,58,242
Academic Affairs,01-01-2021,47428,January,202101,2021,Marketing Cloud,Email,10158,29879
Student Affairs,09-01-2020,3432,September,202009,2020,Marketing Cloud,Email,80,171
WKSU,08-01-2020,1006194,August,202008,2020,Marketing Cloud,Email,26764,70433
UCM,01-01-2021,125000,January,202101,2021,Marketing Cloud,Email,106575,122500
IT,10-01-2020,80283,October,202010,2020,Marketing Cloud,Email,32851,52986
UCM,11-01-2020,17131,November,202011,2020,Marketing Cloud,Email,7615,9764
UCM,12-01-2020,38603,December,202012,2020,Marketing Cloud,Email,6087,32040
UCM,11-01-2020,136769,November,202011,2020,Marketing Cloud,Email,32222,42398
Human Resources,01-01-2021,246,January,202101,2021,Marketing Cloud,Email,14,238
Recruiting,11-01-2020,1379954,November,202011,2020,Marketing Cloud,Email,717576,1379954
UCM,09-01-2020,34478,September,202009,2020,Marketing Cloud,Email,7136,15859
Recruiting,10-01-2020,1379954,October,202010,2020,Marketing Cloud,Email,41950,55198
UCM,11-01-2020,49861,November,202011,2020,Marketing Cloud,Email,6870,12963
Recruiting,01-01-2021,74152,January,202101,2021,Marketing Cloud,Email,32522,63770
Student Affairs,08-01-2020,47,August,202008,2020,Marketing Cloud,Email,22,41
Student Affairs,12-01-2020,36625,December,202012,2020,Marketing Cloud,Email,22494,27102
Human Resources,09-01-2020,259644,September,202009,2020,Marketing Cloud,Email,117151,124629
Human Resources,12-01-2020,182327,December,202012,2020,Marketing Cloud,Email,4284,9116
WKSU,10-01-2020,1549831,October,202010,2020,Marketing Cloud,Email,1159273,1317356
Human Resources,01-01-2021,38603,January,202101,2021,Flashline,Portal Alert,972,32426
IT,01-01-2021,350000,January,202101,2021,Marketing Cloud,Email,80640,168000
Recruiting,08-01-2020,141779,August,202008,2020,Marketing Cloud,Email,5061,29773
Human Resources,01-01-2021,136769,January,202101,2021,Marketing Cloud,Email,18955,45133
IT,10-01-2020,19871,October,202010,2020,Marketing Cloud,Email,7749,7749
Student Affairs,12-01-2020,19871,December,202012,2020,Marketing Cloud,Email,4494,15499
Academic Affairs,12-01-2020,355184,December,202012,2020,Marketing Cloud,Email,132518,323217
IT,09-01-2020,355184,September,202009,2020,Marketing Cloud,Email,202596,326769
Recruiting,01-01-2021,245595,January,202101,2021,Marketing Cloud,Email,17682,110517
Student Affairs,10-01-2020,87671,October,202010,2020,Marketing Cloud,Email,5663,16657
WKSU,01-01-2021,42015,January,202101,2021,Marketing Cloud,Email,20704,23528
Academic Affairs,10-01-2020,31377,October,202010,2020,Marketing Cloud,Email,9387,21336
WKSU,11-01-2020,38603,November,202011,2020,Marketing Cloud,Email,250,5018
Human Resources,11-01-2020,38603,November,202011,2020,Marketing Cloud,Email,2335,4246
UCM,01-01-2021,182327,January,202101,2021,Marketing Cloud,Email,2734,3646
Student Affairs,01-01-2021,19871,January,202101,2021,TargetX Email,Email,1096,4769
Recruiting,10-01-2020,80283,October,202010,2020,Marketing Cloud,Email,33525,38535
Student Affairs,11-01-2020,136255,November,202011,2020,Marketing Cloud,Email,24034,49051
IT,11-01-2020,373,November,202011,2020,Marketing Cloud,Email,45,74
Human Resources,11-01-2020,259644,November,202011,2020,Marketing Cloud,Email,140259,192136
Recruiting,10-01-2020,259644,October,202010,2020,Marketing Cloud,Email,42062,77893
WKSU,10-01-2020,80283,October,202010,2020,Marketing Cloud,Email,8381,28901
Recruiting,01-01-2021,1271250,January,202101,2021,Marketing Cloud,Email,199077,1105987
WKSU,09-01-2020,0,September,202009,2020,Marketing Cloud,Email,0,0
IT,11-01-2020,1549831,November,202011,2020,Marketing Cloud,Email,75941,108488
Recruiting,01-01-2021,3432,January,202101,2021,Marketing Cloud,Email,1063,2127
Academic Affairs,11-01-2020,102360,November,202011,2020,Marketing Cloud,Email,11975,13306
WKSU,10-01-2020,167464,October,202010,2020,Marketing Cloud,Email,5944,118899
Recruiting,09-01-2020,136255,September,202009,2020,Cognos Report to Email,Email,21337,118541
Recruiting,09-01-2020,42015,September,202009,2020,Marketing Cloud,Email,1882,13444
IT,09-01-2020,106010,September,202009,2020,Marketing Cloud,Email,34876,37103
Recruiting,11-01-2020,106010,November,202011,2020,Marketing Cloud,Email,44311,58305
Recruiting,11-01-2020,355184,November,202011,2020,Marketing Cloud,Email,166865,309010
WKSU,10-01-2020,500000,October,202010,2020,Marketing Cloud,Email,11500,25000
Recruiting,01-01-2021,350000,January,202101,2021,Marketing Cloud,Email,213885,220500
WKSU,09-01-2020,19871,September,202009,2020,Marketing Cloud,Email,8965,9538
Recruiting,12-01-2020,167464,December,202012,2020,Marketing Cloud,Email,6313,21770
IT,01-01-2021,1549831,January,202101,2021,Marketing Cloud,Email,50214,185979
Student Affairs,01-01-2021,42015,January,202101,2021,Marketing Cloud,Email,7394,16806
IT,08-01-2020,167464,August,202008,2020,TargetX Messaging,Text Message,94198,125598
IT,10-01-2020,1549831,October,202010,2020,Marketing Cloud,Email,6974,232474
IT,09-01-2020,350000,September,202009,2020,Marketing Cloud,Email,236670,241500
Recruiting,10-01-2020,49861,October,202010,2020,Marketing Cloud,Email,3988,24930
Human Resources,12-01-2020,0,December,202012,2020,Marketing Cloud,Email,0,0
Academic Affairs,12-01-2020,100,December,202012,2020,Marketing Cloud,Email,19,21
