Functional Area,Month,Communications Sent,Month Name,Month Number,Year,System,Type,Response,View
Recruiting,10/1/20,58502,October,202010,2020,TargetX Messaging,Text Message,63,69
Recruiting,12/1/20,80283,December,202012,2020,Marketing Cloud,Email,23,24
Recruiting,1/1/21,47428,January,202101,2021,Marketing Cloud,Email,9,11
UCM,11/1/20,11590,November,202011,2020,Marketing Cloud,Email,8,14
Recruiting,8/1/20,136255,August,202008,2020,Marketing Cloud,Email,13,44
Recruiting,9/1/20,36157,September,202009,2020,Marketing Cloud,Email,29,44
Recruiting,12/1/20,182327,December,202012,2020,TargetX Messaging,Text Message,0,8
IT,12/1/20,141779,December,202012,2020,Marketing Cloud,Email,25,97
Recruiting,1/1/21,1029207,January,202101,2021,Constant Contact,Email,23,90
Recruiting,8/1/20,136255,August,202008,2020,Marketing Cloud,Email,35,68
IT,1/1/21,3432,January,202101,2021,Marketing Cloud,Email,49,61
UCM,11/1/20,125000,November,202011,2020,Marketing Cloud,Email,9,17
UCM,9/1/20,19871,September,202009,2020,Marketing Cloud,Email,43,44
WKSU,10/1/20,167464,October,202010,2020,TargetX Messaging,Text Message,44,81
WKSU,8/1/20,0,August,202008,2020,Marketing Cloud,Email,70,74
IT,1/1/21,40000,January,202101,2021,Marketing Cloud,Email,18,70
Human Resources,11/1/20,3432,November,202011,2020,Marketing Cloud,Email,2,5
WKSU,9/1/20,167464,September,202009,2020,Constant Contact,Email,25,38
Academic Affairs,12/1/20,136255,December,202012,2020,Marketing Cloud,Email,34,80
Human Resources,12/1/20,39863,December,202012,2020,Marketing Cloud,Email,6,7
Recruiting,10/1/20,17131,October,202010,2020,Cognos Report to Email,Email,50,86
Human Resources,1/1/21,3432,January,202101,2021,Marketing Cloud,Email,13,40
Recruiting,10/1/20,1029207,October,202010,2020,Marketing Cloud,Email,5,24
UCM,1/1/21,167464,January,202101,2021,Marketing Cloud,Email,30,46
UCM,12/1/20,40000,December,202012,2020,Marketing Cloud,Email,29,85
Human Resources,1/1/21,245595,January,202101,2021,Constant Contact,Email,23,36
Academic Affairs,1/1/21,92268,January,202101,2021,Marketing Cloud,Email,3,73
Human Resources,1/1/21,87671,January,202101,2021,Marketing Cloud,Email,6,74
IT,1/1/21,182327,January,202101,2021,Marketing Cloud,Email,14,19
Student Affairs,1/1/21,106010,January,202101,2021,Marketing Cloud,Email,4,26
Human Resources,12/1/20,167464,December,202012,2020,Marketing Cloud,Email,52,89
IT,8/1/20,47428,August,202008,2020,Marketing Cloud,Email,9,46
Human Resources,8/1/20,136255,August,202008,2020,Marketing Cloud,Email,1,28
Recruiting,1/1/21,1549831,January,202101,2021,Marketing Cloud,Email,77,88
IT,8/1/20,40000,August,202008,2020,Cognos Report to Email,Email,6,9
Academic Affairs,1/1/21,38603,January,202101,2021,Marketing Cloud,Email,0,3
WKSU,11/1/20,136255,November,202011,2020,Marketing Cloud,Email,50,62
Human Resources,9/1/20,373,September,202009,2020,Marketing Cloud,Email,14,77
Recruiting,10/1/20,74152,October,202010,2020,Marketing Cloud,Email,55,98
Student Affairs,10/1/20,39863,October,202010,2020,Cognos Report to Email,Email,20,87
WKSU,12/1/20,20217,December,202012,2020,Marketing Cloud,Email,1,8
Student Affairs,1/1/21,40000,January,202101,2021,Marketing Cloud,Email,54,89
UCM,1/1/21,1549831,January,202101,2021,Marketing Cloud,Email,21,27
Recruiting,10/1/20,700000,October,202010,2020,Marketing Cloud,Email,37,79
IT,11/1/20,1379954,November,202011,2020,TargetX Email,Email,23,57
Recruiting,8/1/20,87671,August,202008,2020,Marketing Cloud,Email,38,75
Recruiting,1/1/21,19871,January,202101,2021,Marketing Cloud,Email,47,87
Recruiting,10/1/20,87671,October,202010,2020,Marketing Cloud,Email,29,73
Academic Affairs,1/1/21,106010,January,202101,2021,Marketing Cloud,Email,80,89
Human Resources,12/1/20,34478,December,202012,2020,Marketing Cloud,Email,2,5
WKSU,11/1/20,17131,November,202011,2020,Marketing Cloud,Email,77,86
Recruiting,11/1/20,17131,November,202011,2020,Marketing Cloud,Email,30,60
Human Resources,12/1/20,42015,December,202012,2020,Marketing Cloud,Email,16,45
Human Resources,8/1/20,36157,August,202008,2020,Marketing Cloud,Email,28,63
WKSU,12/1/20,3432,December,202012,2020,Marketing Cloud,Email,3,12
Human Resources,10/1/20,136255,October,202010,2020,Marketing Cloud,Email,10,17
Recruiting,12/1/20,87671,December,202012,2020,Marketing Cloud,Email,31,64
Recruiting,1/1/21,17131,January,202101,2021,Marketing Cloud,Email,12,26
Academic Affairs,10/1/20,17307,October,202010,2020,Marketing Cloud,Email,12,53
Academic Affairs,11/1/20,47428,November,202011,2020,Marketing Cloud,Email,56,69
UCM,1/1/21,34478,January,202101,2021,Marketing Cloud,Email,49,86
UCM,12/1/20,92268,December,202012,2020,Marketing Cloud,Email,30,92
Academic Affairs,11/1/20,136769,November,202011,2020,Marketing Cloud,Email,3,11
Recruiting,1/1/21,723568,January,202101,2021,Marketing Cloud,Email,7,30
IT,12/1/20,1379954,December,202012,2020,Marketing Cloud,Email,27,73
Human Resources,8/1/20,355184,August,202008,2020,Marketing Cloud,Email,47,95
Recruiting,9/1/20,125000,September,202009,2020,Marketing Cloud,Email,72,76
Human Resources,1/1/21,259644,January,202101,2021,Marketing Cloud,Email,34,55
Human Resources,1/1/21,49861,January,202101,2021,Phone,Phone Call,19,26
IT,9/1/20,34478,September,202009,2020,Marketing Cloud,Email,35,71
Academic Affairs,10/1/20,47,October,202010,2020,Marketing Cloud,Email,54,56
Recruiting,8/1/20,1029207,August,202008,2020,Phone,Phone Call,22,85
Recruiting,8/1/20,47428,August,202008,2020,Marketing Cloud,Email,39,70
IT,8/1/20,106010,August,202008,2020,Marketing Cloud,Email,10,54
IT,10/1/20,74152,October,202010,2020,Cognos Report to Email,Email,12,12
Recruiting,8/1/20,350000,August,202008,2020,Marketing Cloud,Email,20,87
IT,10/1/20,80283,October,202010,2020,Marketing Cloud,Email,21,35
Recruiting,1/1/21,1006194,January,202101,2021,Marketing Cloud,Email,13,41
Academic Affairs,8/1/20,1549831,August,202008,2020,Marketing Cloud,Email,26,40
WKSU,1/1/21,17307,January,202101,2021,Marketing Cloud,Email,23,34
Student Affairs,8/1/20,1271250,August,202008,2020,Marketing Cloud,Email,15,47
IT,1/1/21,49861,January,202101,2021,Marketing Cloud,Email,70,78
Recruiting,9/1/20,245595,September,202009,2020,Marketing Cloud,Email,19,22
WKSU,1/1/21,92268,January,202101,2021,Marketing Cloud,Email,4,67
UCM,1/1/21,0,January,202101,2021,Marketing Cloud,Email,21,55
WKSU,12/1/20,100,December,202012,2020,Marketing Cloud,Email,5,34
Academic Affairs,8/1/20,350000,August,202008,2020,Marketing Cloud,Email,42,48
Recruiting,9/1/20,80283,September,202009,2020,Marketing Cloud,Email,21,26
UCM,11/1/20,19871,November,202011,2020,Marketing Cloud,Email,26,34
WKSU,1/1/21,20217,January,202101,2021,Flashline,Portal Alert,12,13
Recruiting,9/1/20,3432,September,202009,2020,Marketing Cloud,Email,10,46
IT,11/1/20,17131,November,202011,2020,Marketing Cloud,Email,24,29
Recruiting,12/1/20,92268,December,202012,2020,Marketing Cloud,Email,25,55
Recruiting,12/1/20,1271250,December,202012,2020,Marketing Cloud,Email,3,69
IT,1/1/21,700000,January,202101,2021,Flashline,Portal Alert,15,40
IT,1/1/21,1006194,January,202101,2021,TargetX Email,Email,8,44
Academic Affairs,1/1/21,100,January,202101,2021,Marketing Cloud,Email,56,88
IT,10/1/20,1006194,October,202010,2020,Marketing Cloud,Email,15,53
Recruiting,1/1/21,141779,January,202101,2021,Marketing Cloud,Email,14,74
Academic Affairs,8/1/20,74152,August,202008,2020,Marketing Cloud,Email,13,16
WKSU,1/1/21,40000,January,202101,2021,Marketing Cloud,Email,2,30
Recruiting,9/1/20,92268,September,202009,2020,Marketing Cloud,Email,8,21
Recruiting,8/1/20,1006194,August,202008,2020,Marketing Cloud,Email,8,47
WKSU,10/1/20,723568,October,202010,2020,Marketing Cloud,Email,8,35
Student Affairs,11/1/20,700000,November,202011,2020,Marketing Cloud,Email,85,86
WKSU,12/1/20,39863,December,202012,2020,Marketing Cloud,Email,28,99
UCM,8/1/20,141779,August,202008,2020,Marketing Cloud,Email,8,21
Recruiting,12/1/20,350000,December,202012,2020,Phone,Phone Call,13,48
Student Affairs,11/1/20,1549831,November,202011,2020,Marketing Cloud,Email,21,97
IT,10/1/20,1549831,October,202010,2020,Flashline,Portal Alert,23,48
Recruiting,1/1/21,38603,January,202101,2021,Marketing Cloud,Email,6,11
Recruiting,11/1/20,47428,November,202011,2020,Marketing Cloud,Email,7,86
UCM,10/1/20,17307,October,202010,2020,Marketing Cloud,Email,39,67
IT,12/1/20,106010,December,202012,2020,Marketing Cloud,Email,9,52
Recruiting,9/1/20,19871,September,202009,2020,TargetX Messaging,Text Message,89,100
UCM,1/1/21,17131,January,202101,2021,Marketing Cloud,Email,14,45
UCM,1/1/21,80283,January,202101,2021,Marketing Cloud,Email,7,20
WKSU,12/1/20,38603,December,202012,2020,Marketing Cloud,Email,25,27
Recruiting,10/1/20,11590,October,202010,2020,Marketing Cloud,Email,49,56
WKSU,9/1/20,42015,September,202009,2020,Marketing Cloud,Email,40,43
Human Resources,8/1/20,102360,August,202008,2020,Marketing Cloud,Email,42,83
UCM,11/1/20,136255,November,202011,2020,Marketing Cloud,Email,38,72
WKSU,11/1/20,1549831,November,202011,2020,Marketing Cloud,Email,35,59
Academic Affairs,12/1/20,31377,December,202012,2020,Marketing Cloud,Email,17,36
Recruiting,12/1/20,27782,December,202012,2020,Marketing Cloud,Email,8,16
Recruiting,9/1/20,106010,September,202009,2020,Marketing Cloud,Email,2,8
WKSU,8/1/20,42015,August,202008,2020,Marketing Cloud,Email,26,54
IT,1/1/21,106010,January,202101,2021,Marketing Cloud,Email,82,98
UCM,8/1/20,355184,August,202008,2020,Marketing Cloud,Email,16,41
IT,10/1/20,106010,October,202010,2020,Marketing Cloud,Email,3,69
Recruiting,9/1/20,74152,September,202009,2020,Marketing Cloud,Email,25,31
UCM,8/1/20,1006194,August,202008,2020,Marketing Cloud,Email,2,26
Student Affairs,9/1/20,1549831,September,202009,2020,Marketing Cloud,Email,50,86
IT,11/1/20,47,November,202011,2020,TargetX Messaging,Text Message,35,37
UCM,1/1/21,1379954,January,202101,2021,Marketing Cloud,Email,13,76
Recruiting,11/1/20,36625,November,202011,2020,Marketing Cloud,Email,7,12
UCM,1/1/21,723568,January,202101,2021,Marketing Cloud,Email,24,37
IT,1/1/21,1029207,January,202101,2021,Marketing Cloud,Email,3,3
Student Affairs,1/1/21,36157,January,202101,2021,Marketing Cloud,Email,33,50
IT,1/1/21,11590,January,202101,2021,Marketing Cloud,Email,2,47
Recruiting,12/1/20,39863,December,202012,2020,Marketing Cloud,Email,8,23
Human Resources,1/1/21,102360,January,202101,2021,Marketing Cloud,Email,41,75
WKSU,11/1/20,31377,November,202011,2020,Marketing Cloud,Email,34,95
Recruiting,9/1/20,20217,September,202009,2020,Marketing Cloud,Email,5,95
UCM,12/1/20,350000,December,202012,2020,Marketing Cloud,Email,9,37
Recruiting,9/1/20,125000,September,202009,2020,Marketing Cloud,Email,0,3
Recruiting,12/1/20,1029207,December,202012,2020,Marketing Cloud,Email,45,64
WKSU,1/1/21,106010,January,202101,2021,Marketing Cloud,Email,9,17
Human Resources,12/1/20,182327,December,202012,2020,TargetX Email,Email,7,40
Recruiting,10/1/20,17131,October,202010,2020,Marketing Cloud,Email,0,10
Human Resources,1/1/21,36157,January,202101,2021,Marketing Cloud,Email,36,93
Human Resources,8/1/20,27782,August,202008,2020,Marketing Cloud,Email,34,36
UCM,12/1/20,136769,December,202012,2020,Marketing Cloud,Email,72,90
IT,12/1/20,141779,December,202012,2020,Marketing Cloud,Email,61,75
IT,1/1/21,373,January,202101,2021,Marketing Cloud,Email,16,49
IT,11/1/20,102360,November,202011,2020,Marketing Cloud,Email,5,52
Student Affairs,1/1/21,500000,January,202101,2021,Flashline,Portal Alert,39,53
Recruiting,9/1/20,92268,September,202009,2020,Marketing Cloud,Email,7,9
Academic Affairs,9/1/20,74152,September,202009,2020,TargetX Email,Email,23,40
UCM,11/1/20,373,November,202011,2020,Marketing Cloud,Email,9,11
IT,11/1/20,1271250,November,202011,2020,Marketing Cloud,Email,62,90
Student Affairs,8/1/20,58502,August,202008,2020,Marketing Cloud,Email,2,61
Recruiting,8/1/20,182327,August,202008,2020,Marketing Cloud,Email,4,13
Human Resources,11/1/20,1029207,November,202011,2020,Marketing Cloud,Email,38,88
WKSU,9/1/20,11590,September,202009,2020,Marketing Cloud,Email,4,9
Recruiting,8/1/20,47,August,202008,2020,TargetX Email,Email,17,49
UCM,9/1/20,31377,September,202009,2020,Marketing Cloud,Email,42,69
IT,1/1/21,182327,January,202101,2021,Marketing Cloud,Email,67,99
UCM,8/1/20,58502,August,202008,2020,Marketing Cloud,Email,21,62
IT,8/1/20,245595,August,202008,2020,Marketing Cloud,Email,13,77
Recruiting,1/1/21,19871,January,202101,2021,Marketing Cloud,Email,4,33
Student Affairs,8/1/20,38603,August,202008,2020,Marketing Cloud,Email,3,25
Recruiting,8/1/20,40000,August,202008,2020,Marketing Cloud,Email,16,79
IT,12/1/20,500000,December,202012,2020,Marketing Cloud,Email,37,66
UCM,11/1/20,700000,November,202011,2020,Marketing Cloud,Email,7,8
Academic Affairs,11/1/20,106010,November,202011,2020,Marketing Cloud,Email,18,18
Academic Affairs,1/1/21,74152,January,202101,2021,Marketing Cloud,Email,30,57
Academic Affairs,11/1/20,47,November,202011,2020,Marketing Cloud,Email,23,23
Recruiting,12/1/20,1029207,December,202012,2020,Marketing Cloud,Email,40,92
Recruiting,12/1/20,38603,December,202012,2020,Constant Contact,Email,50,50
Student Affairs,1/1/21,106010,January,202101,2021,Marketing Cloud,Email,33,55
UCM,10/1/20,42015,October,202010,2020,Marketing Cloud,Email,5,51
IT,10/1/20,36157,October,202010,2020,Marketing Cloud,Email,13,14
UCM,9/1/20,74152,September,202009,2020,Marketing Cloud,Email,0,24
UCM,11/1/20,106010,November,202011,2020,Flashline,Portal Alert,38,59
IT,1/1/21,36157,January,202101,2021,Marketing Cloud,Email,41,47
WKSU,11/1/20,1271250,November,202011,2020,Marketing Cloud,Email,2,31
IT,10/1/20,350000,October,202010,2020,Marketing Cloud,Email,12,41
Recruiting,1/1/21,723568,January,202101,2021,Marketing Cloud,Email,41,90
Student Affairs,9/1/20,20217,September,202009,2020,Marketing Cloud,Email,48,51
Human Resources,1/1/21,40000,January,202101,2021,Marketing Cloud,Email,2,44
UCM,11/1/20,17131,November,202011,2020,Marketing Cloud,Email,53,59
Student Affairs,1/1/21,500000,January,202101,2021,Marketing Cloud,Email,21,35
Academic Affairs,8/1/20,102360,August,202008,2020,Marketing Cloud,Email,13,75
Recruiting,10/1/20,102360,October,202010,2020,Marketing Cloud,Email,80,94
Human Resources,9/1/20,355184,September,202009,2020,Marketing Cloud,Email,2,6
WKSU,1/1/21,1006194,January,202101,2021,Marketing Cloud,Email,8,11
Human Resources,9/1/20,19871,September,202009,2020,Marketing Cloud,Email,48,72
UCM,1/1/21,49861,January,202101,2021,Marketing Cloud,Email,2,18
IT,9/1/20,1549831,September,202009,2020,Marketing Cloud,Email,2,62
Academic Affairs,12/1/20,350000,December,202012,2020,Marketing Cloud,Email,54,72
Human Resources,9/1/20,19871,September,202009,2020,Flashline,Portal Alert,12,43
Recruiting,1/1/21,11590,January,202101,2021,Marketing Cloud,Email,21,40
UCM,8/1/20,19871,August,202008,2020,Marketing Cloud,Email,23,82
Recruiting,1/1/21,58502,January,202101,2021,Marketing Cloud,Email,34,90
Academic Affairs,9/1/20,1549831,September,202009,2020,Marketing Cloud,Email,12,17
Human Resources,10/1/20,1271250,October,202010,2020,Marketing Cloud,Email,47,58
Human Resources,9/1/20,1029207,September,202009,2020,Marketing Cloud,Email,6,8
Recruiting,1/1/21,125000,January,202101,2021,Marketing Cloud,Email,23,26
Recruiting,8/1/20,141779,August,202008,2020,Marketing Cloud,Email,63,83
Human Resources,9/1/20,1271250,September,202009,2020,TargetX Email,Email,11,55
Academic Affairs,10/1/20,136255,October,202010,2020,Marketing Cloud,Email,29,39
IT,1/1/21,246,January,202101,2021,Marketing Cloud,Email,14,84
IT,8/1/20,38603,August,202008,2020,Marketing Cloud,Email,34,40
UCM,11/1/20,182327,November,202011,2020,Marketing Cloud,Email,27,42
WKSU,10/1/20,500000,October,202010,2020,Marketing Cloud,Email,68,78
WKSU,10/1/20,40000,October,202010,2020,Marketing Cloud,Email,0,81
WKSU,9/1/20,136255,September,202009,2020,Marketing Cloud,Email,22,33
Recruiting,1/1/21,1271250,January,202101,2021,Marketing Cloud,Email,14,39
Academic Affairs,10/1/20,17131,October,202010,2020,Marketing Cloud,Email,12,91
Recruiting,1/1/21,36625,January,202101,2021,Marketing Cloud,Email,5,28
Academic Affairs,8/1/20,373,August,202008,2020,Marketing Cloud,Email,4,87
UCM,10/1/20,20217,October,202010,2020,Marketing Cloud,Email,0,40
Academic Affairs,10/1/20,47,October,202010,2020,Marketing Cloud,Email,56,74
Recruiting,10/1/20,1029207,October,202010,2020,Marketing Cloud,Email,39,39
UCM,10/1/20,106010,October,202010,2020,Marketing Cloud,Email,24,26
Recruiting,1/1/21,17307,January,202101,2021,Marketing Cloud,Email,26,34
UCM,11/1/20,0,November,202011,2020,Marketing Cloud,Email,36,40
IT,11/1/20,38603,November,202011,2020,Marketing Cloud,Email,28,69
WKSU,1/1/21,259644,January,202101,2021,Marketing Cloud,Email,2,50
Recruiting,1/1/21,80283,January,202101,2021,Constant Contact,Email,17,21
Human Resources,8/1/20,40000,August,202008,2020,Marketing Cloud,Email,26,60
Recruiting,11/1/20,102360,November,202011,2020,Marketing Cloud,Email,6,77
Recruiting,12/1/20,723568,December,202012,2020,Marketing Cloud,Email,59,62
Human Resources,8/1/20,136769,August,202008,2020,Marketing Cloud,Email,18,75
Academic Affairs,10/1/20,31377,October,202010,2020,Marketing Cloud,Email,15,20
IT,8/1/20,125000,August,202008,2020,Marketing Cloud,Email,12,14
Academic Affairs,1/1/21,1006194,January,202101,2021,Marketing Cloud,Email,9,47
Recruiting,8/1/20,17307,August,202008,2020,Marketing Cloud,Email,50,64
WKSU,9/1/20,27782,September,202009,2020,Marketing Cloud,Email,2,67
IT,12/1/20,700000,December,202012,2020,Marketing Cloud,Email,16,51
Student Affairs,10/1/20,167464,October,202010,2020,Marketing Cloud,Email,12,13
Academic Affairs,12/1/20,36157,December,202012,2020,Marketing Cloud,Email,29,29
Human Resources,8/1/20,1006194,August,202008,2020,Marketing Cloud,Email,44,70
Academic Affairs,8/1/20,3432,August,202008,2020,Marketing Cloud,Email,0,13
WKSU,12/1/20,80283,December,202012,2020,Marketing Cloud,Email,52,56
IT,9/1/20,167464,September,202009,2020,Marketing Cloud,Email,38,49
Recruiting,12/1/20,17307,December,202012,2020,Marketing Cloud,Email,17,42
Academic Affairs,11/1/20,17131,November,202011,2020,Marketing Cloud,Email,2,58
Recruiting,9/1/20,58502,September,202009,2020,Marketing Cloud,Email,62,68
Academic Affairs,11/1/20,141779,November,202011,2020,Marketing Cloud,Email,30,36
Student Affairs,10/1/20,19871,October,202010,2020,Marketing Cloud,Email,9,58
Academic Affairs,9/1/20,102360,September,202009,2020,Marketing Cloud,Email,20,46
UCM,8/1/20,40000,August,202008,2020,Marketing Cloud,Email,9,9
UCM,10/1/20,259644,October,202010,2020,Marketing Cloud,Email,73,94
Recruiting,11/1/20,87671,November,202011,2020,Marketing Cloud,Email,44,58
Human Resources,9/1/20,34478,September,202009,2020,Marketing Cloud,Email,71,96
Recruiting,1/1/21,246,January,202101,2021,Marketing Cloud,Email,23,30
Human Resources,10/1/20,17307,October,202010,2020,TargetX Messaging,Text Message,29,80
Recruiting,9/1/20,34478,September,202009,2020,Marketing Cloud,Email,12,27
Human Resources,10/1/20,58502,October,202010,2020,TargetX Email,Email,53,57
Recruiting,11/1/20,0,November,202011,2020,Marketing Cloud,Email,19,19
Human Resources,10/1/20,39863,October,202010,2020,Marketing Cloud,Email,67,100
Recruiting,1/1/21,723568,January,202101,2021,TargetX Email,Email,3,6
Academic Affairs,9/1/20,17131,September,202009,2020,Marketing Cloud,Email,43,51
Human Resources,9/1/20,136769,September,202009,2020,Marketing Cloud,Email,2,36
Academic Affairs,11/1/20,31377,November,202011,2020,Marketing Cloud,Email,7,25
UCM,11/1/20,102360,November,202011,2020,Marketing Cloud,Email,19,28
Student Affairs,9/1/20,182327,September,202009,2020,Marketing Cloud,Email,3,7
UCM,1/1/21,350000,January,202101,2021,Marketing Cloud,Email,45,79
Academic Affairs,12/1/20,136769,December,202012,2020,Marketing Cloud,Email,16,34
Recruiting,1/1/21,38603,January,202101,2021,Marketing Cloud,Email,6,35
UCM,11/1/20,700000,November,202011,2020,Marketing Cloud,Email,21,25
Student Affairs,8/1/20,246,August,202008,2020,Marketing Cloud,Email,3,30
IT,8/1/20,0,August,202008,2020,TargetX Email,Email,0,2
IT,9/1/20,1006194,September,202009,2020,Marketing Cloud,Email,2,42
IT,10/1/20,19871,October,202010,2020,Cognos Report to Email,Email,9,85
Recruiting,12/1/20,58502,December,202012,2020,Marketing Cloud,Email,72,91
Academic Affairs,1/1/21,31377,January,202101,2021,TargetX Messaging,Text Message,6,67
Recruiting,8/1/20,47,August,202008,2020,Marketing Cloud,Email,17,23
Recruiting,11/1/20,106010,November,202011,2020,Marketing Cloud,Email,27,46
Student Affairs,1/1/21,17307,January,202101,2021,Marketing Cloud,Email,2,49
Human Resources,1/1/21,355184,January,202101,2021,Marketing Cloud,Email,44,62
UCM,11/1/20,38603,November,202011,2020,Marketing Cloud,Email,33,48
Recruiting,10/1/20,136769,October,202010,2020,Marketing Cloud,Email,20,43
Academic Affairs,1/1/21,355184,January,202101,2021,Marketing Cloud,Email,0,33
UCM,8/1/20,80283,August,202008,2020,Marketing Cloud,Email,3,28
WKSU,11/1/20,102360,November,202011,2020,Marketing Cloud,Email,17,32
Human Resources,8/1/20,136769,August,202008,2020,Marketing Cloud,Email,21,38
WKSU,8/1/20,92268,August,202008,2020,Marketing Cloud,Email,84,94
Recruiting,8/1/20,40000,August,202008,2020,Marketing Cloud,Email,3,30
Student Affairs,8/1/20,92268,August,202008,2020,Marketing Cloud,Email,18,84
WKSU,12/1/20,87671,December,202012,2020,Marketing Cloud,Email,3,5
Recruiting,12/1/20,1271250,December,202012,2020,Marketing Cloud,Email,5,15
Recruiting,1/1/21,49861,January,202101,2021,Cognos Report to Email,Email,5,16
WKSU,8/1/20,106010,August,202008,2020,Marketing Cloud,Email,1,78
Human Resources,8/1/20,11590,August,202008,2020,Marketing Cloud,Email,19,49
WKSU,8/1/20,100,August,202008,2020,Marketing Cloud,Email,35,68
Student Affairs,1/1/21,40000,January,202101,2021,Marketing Cloud,Email,51,91
Recruiting,12/1/20,31377,December,202012,2020,Marketing Cloud,Email,26,31
Recruiting,9/1/20,20217,September,202009,2020,Marketing Cloud,Email,4,30
Academic Affairs,8/1/20,39863,August,202008,2020,Marketing Cloud,Email,14,88
Recruiting,9/1/20,0,September,202009,2020,Marketing Cloud,Email,62,92
Student Affairs,11/1/20,47428,November,202011,2020,Marketing Cloud,Email,36,90
UCM,1/1/21,355184,January,202101,2021,Marketing Cloud,Email,44,53
UCM,9/1/20,47428,September,202009,2020,Marketing Cloud,Email,3,36
IT,10/1/20,39863,October,202010,2020,Marketing Cloud,Email,2,37
Student Affairs,10/1/20,136769,October,202010,2020,Marketing Cloud,Email,16,47
Recruiting,9/1/20,355184,September,202009,2020,Marketing Cloud,Email,7,39
Human Resources,1/1/21,17307,January,202101,2021,Marketing Cloud,Email,23,44
Recruiting,10/1/20,136769,October,202010,2020,Marketing Cloud,Email,22,42
IT,9/1/20,36157,September,202009,2020,Marketing Cloud,Email,26,26
Human Resources,9/1/20,167464,September,202009,2020,Marketing Cloud,Email,27,77
Academic Affairs,8/1/20,0,August,202008,2020,Marketing Cloud,Email,3,7
UCM,1/1/21,27782,January,202101,2021,Flashline,Portal Alert,55,71
Recruiting,1/1/21,136255,January,202101,2021,Marketing Cloud,Email,0,8
WKSU,9/1/20,246,September,202009,2020,Marketing Cloud,Email,47,59
WKSU,9/1/20,1006194,September,202009,2020,Marketing Cloud,Email,3,7
UCM,11/1/20,1271250,November,202011,2020,Marketing Cloud,Email,27,98
Student Affairs,8/1/20,47428,August,202008,2020,Marketing Cloud,Email,24,57
Human Resources,1/1/21,355184,January,202101,2021,Marketing Cloud,Email,31,62
Human Resources,1/1/21,106010,January,202101,2021,Marketing Cloud,Email,30,61
Recruiting,12/1/20,373,December,202012,2020,TargetX Email,Email,21,22
UCM,11/1/20,19871,November,202011,2020,Marketing Cloud,Email,55,58
Recruiting,1/1/21,92268,January,202101,2021,Marketing Cloud,Email,40,85
Student Affairs,12/1/20,350000,December,202012,2020,TargetX Email,Email,59,63
Recruiting,8/1/20,373,August,202008,2020,Constant Contact,Email,14,36
Human Resources,11/1/20,141779,November,202011,2020,Marketing Cloud,Email,13,17
Recruiting,9/1/20,39863,September,202009,2020,Marketing Cloud,Email,19,45
Recruiting,9/1/20,17131,September,202009,2020,Marketing Cloud,Email,45,72
Student Affairs,9/1/20,100,September,202009,2020,Marketing Cloud,Email,34,80
UCM,11/1/20,1029207,November,202011,2020,Marketing Cloud,Email,5,63
Student Affairs,10/1/20,700000,October,202010,2020,Marketing Cloud,Email,76,78
Recruiting,10/1/20,92268,October,202010,2020,Marketing Cloud,Email,53,82
Recruiting,1/1/21,42015,January,202101,2021,Cognos Report to Email,Email,8,45
Human Resources,9/1/20,1379954,September,202009,2020,Marketing Cloud,Email,21,94
Student Affairs,9/1/20,19871,September,202009,2020,TargetX Messaging,Text Message,85,99
Recruiting,1/1/21,74152,January,202101,2021,Marketing Cloud,Email,16,69
Recruiting,12/1/20,36625,December,202012,2020,Marketing Cloud,Email,6,9
Recruiting,11/1/20,87671,November,202011,2020,Marketing Cloud,Email,1,55
WKSU,1/1/21,373,January,202101,2021,Marketing Cloud,Email,5,55
Student Affairs,11/1/20,1271250,November,202011,2020,Marketing Cloud,Email,3,42
WKSU,12/1/20,31377,December,202012,2020,Marketing Cloud,Email,87,100
Academic Affairs,1/1/21,100,January,202101,2021,Marketing Cloud,Email,26,31
Human Resources,10/1/20,700000,October,202010,2020,Marketing Cloud,Email,19,73
IT,12/1/20,355184,December,202012,2020,Marketing Cloud,Email,96,100
IT,8/1/20,27782,August,202008,2020,Marketing Cloud,Email,6,84
Academic Affairs,10/1/20,40000,October,202010,2020,Marketing Cloud,Email,41,74
UCM,11/1/20,17131,November,202011,2020,Marketing Cloud,Email,35,68
Human Resources,11/1/20,246,November,202011,2020,Cognos Report to Email,Email,3,3
Human Resources,1/1/21,58502,January,202101,2021,TargetX Email,Email,45,79
UCM,10/1/20,106010,October,202010,2020,Marketing Cloud,Email,6,34
UCM,9/1/20,3432,September,202009,2020,Marketing Cloud,Email,31,77
Student Affairs,1/1/21,87671,January,202101,2021,Marketing Cloud,Email,37,41
UCM,8/1/20,125000,August,202008,2020,Constant Contact,Email,65,70
Recruiting,1/1/21,47428,January,202101,2021,Marketing Cloud,Email,85,91
WKSU,1/1/21,350000,January,202101,2021,Marketing Cloud,Email,17,99
Academic Affairs,1/1/21,106010,January,202101,2021,Marketing Cloud,Email,5,34
Recruiting,1/1/21,723568,January,202101,2021,Marketing Cloud,Email,12,13
Student Affairs,8/1/20,47428,August,202008,2020,Marketing Cloud,Email,5,93
IT,10/1/20,500000,October,202010,2020,Marketing Cloud,Email,42,53
Academic Affairs,1/1/21,39863,January,202101,2021,Marketing Cloud,Email,29,40
